file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
F2BJRLP1,0.0,25.309125,input,-45.98785373864085,-46.3906426494186,5.476239425048106,8.146439042726058
F2BJRLP3,0.0,30.7068125,input,-46.525027474763924,-46.867864120838256,4.424298443974761,10.383255085572863
ISLE_SESS0131_BLOCKD02_03_sprt1,0.0,4.5,input,-43.675091145833335,-53.227927868182846,3.859922375481958,11.443148868500742
F2BJRLP2,0.0,28.6474375,input,-45.52609347731239,-45.76129050824627,3.543949043390086,8.019643199108776
ISLE_SESS0131_BLOCKD02_01_sprt1,0.0,4.125,input,-42.94938899818402,-51.52566763070914,2.6995965287692614,11.85118774544399
ISLE_SESS0131_BLOCKD02_02_sprt1,0.0,3.875,input,-44.5468246617268,-49.88893349965414,2.5442695888396334,12.358243745435463
